ID,CA,Protein,Ca Activity,,Sym,Light,SL,SE,Comp,Algae
LG13E,1.2,6.050208997,0.198340256,,G,LL,GLL,E,GLLE,85579.3665
LG31E,2.2,11.64674144,0.188894036,,G,LL,GLL,E,GLLE,39414.29028
LG32E,2.2,14.00676094,0.157067006,,G,LL,GLL,E,GLLE,32833.51004
LG33E,2.4,14.46651899,0.165900311,,G,LL,GLL,E,GLLE,65406.83983
MA11E,0.6,5.211853644,0.115122189,,W,ML,WML,E,WMLE,0
MA21E,2.4,8.078747328,0.29707576,,W,ML,WML,E,WMLE,0
MA22E,0.8,8.45814651,0.09458337,,W,ML,WML,E,WMLE,0
MA24E,1.2,7.661930732,0.156618487,,W,ML,WML,E,WMLE,0
MA31E,2.4,10.80368748,0.222146374,,W,ML,WML,E,WMLE,0
MA32E,1.8,8.355149753,0.215435995,,W,ML,WML,E,WMLE,0
MB1E,3,5.63238417,0.532634123,,B,ML,BML,E,BMLE,131964.2315
MB2E,2,10.94812123,0.182679746,,B,ML,BML,E,BMLE,85746.14022
MB3E,5.4,9.121555794,0.592004272,,B,ML,BML,E,BMLE,142229.6419
MB4E,4.2,5.425724626,0.774090152,,B,ML,BML,E,BMLE,194490.9598
MB5E,5.4,5.170734379,1.044339083,,B,ML,BML,E,BMLE,158095.2839
MB6E,1.8,2.292035647,0.7853281,,B,ML,BML,E,BMLE,129474.8502
MB7E,8.2,7.133071002,1.149574986,,B,ML,BML,E,BMLE,138954.8915
MB8E,8,8.180879128,0.977890013,,B,ML,BML,E,BMLE,101779.3099
MG11E,2.2,11.43997427,0.192308125,,G,ML,GML,E,GMLE,71405.04543
MG12E,3,7.793337148,0.384944208,,G,ML,GML,E,GMLE,95546.38918
MG31E,2.4,11.33256061,0.211779145,,G,ML,GML,E,GMLE,71307.95328
MG32E,1.6,7.174618606,0.22300837,,G,ML,GML,E,GMLE,84516.9442
MG33E,1.8,9.878548465,0.182213005,,G,ML,GML,E,GMLE,39248.81999
